id,code,name,description,category,status,activated_at,deprecated_at,created_at,created_by,updated_at,updated_by,company_id
c383dd94-afcf-4959-9418-743efb8f95e8,CC-SMOKE-RETIRED,Uji pasca-apply,,,deprecated,2026-07-24T18:40:02.780Z,2026-07-24T18:40:02.848Z,2026-07-24T18:40:02.682Z,,2026-07-24T18:40:02.848Z,,
bb22e689-cdc8-4dd7-9a79-1443882fcd01,CC-3.6.1,Pasangan Dinding Bata Merah,Keluarga AHSP SE 47/2026 blok 3.6.1 (sheet Pasangan Dinding),,draft,,,2026-07-26T13:51:11.996Z,a0000000-0000-0000-0000-000000000001,2026-07-26T13:51:11.996Z,,
52a95db5-8ea8-4579-a062-054341c337bb,CC-SE47-galian-tanah,Galian Tanah,"Kategori pekerjaan SE 47/2026 — sheet ""Galian Tanah""",,draft,,,2026-07-26T19:43:37.564Z,a0000000-0000-0000-0000-000000000001,2026-07-26T19:43:37.564Z,,
d6e33bb9-ffa0-4c5a-b239-a4947b43c18e,CC-SE47-timbunan-pemadatan,Timbunan Pemadatan,"Kategori pekerjaan SE 47/2026 — sheet ""Timbunan Pemadatan""",,draft,,,2026-07-26T19:43:37.633Z,a0000000-0000-0000-0000-000000000001,2026-07-26T19:43:37.633Z,,
40f887e8-b378-45bc-8c4b-aab1c6515e08,CC-SE47-angkut-material,Angkut Material,"Kategori pekerjaan SE 47/2026 — sheet ""Angkut Material""",,draft,,,2026-07-26T19:43:37.679Z,a0000000-0000-0000-0000-000000000001,2026-07-26T19:43:37.679Z,,
5e03487b-3773-4e43-90b8-0c3be7c35e76,CC-SE47-geotekstil-geomembran,Geotekstil & Geomembran,"Kategori pekerjaan SE 47/2026 — sheet ""Geotekstil & Geomembran""",,draft,,,2026-07-26T19:43:37.725Z,a0000000-0000-0000-0000-000000000001,2026-07-26T19:43:37.725Z,,
873ad9a7-644e-48f0-8a2e-5e3fc6e2e5a2,CC-SE47-rangka-atap,Rangka Atap,"Kategori pekerjaan SE 47/2026 — sheet ""Rangka Atap""",,draft,,,2026-07-26T19:43:37.771Z,a0000000-0000-0000-0000-000000000001,2026-07-26T19:43:37.771Z,,
afade0fd-0353-4bc0-b7e3-4f9cf9af4b21,CC-SE47-beton,Beton,"Kategori pekerjaan SE 47/2026 — sheet ""Beton""",,draft,,,2026-07-26T19:43:37.816Z,a0000000-0000-0000-0000-000000000001,2026-07-26T19:43:37.816Z,,
a7959f66-cf5b-427e-bf72-2ea0ebb3098e,CC-SE47-pondasi,Pondasi,"Kategori pekerjaan SE 47/2026 — sheet ""Pondasi""",,draft,,,2026-07-26T19:43:37.862Z,a0000000-0000-0000-0000-000000000001,2026-07-26T19:43:37.862Z,,
1973fa3f-c896-4df5-979f-88f3b4ba6383,CC-SE47-baja,BAJA,"Kategori pekerjaan SE 47/2026 — sheet ""BAJA""",,draft,,,2026-07-26T19:43:37.908Z,a0000000-0000-0000-0000-000000000001,2026-07-26T19:43:37.908Z,,
788e3aa2-6b4f-4573-84d9-2209a8486090,CC-SE47-beton-pracetak,Beton Pracetak,"Kategori pekerjaan SE 47/2026 — sheet ""Beton Pracetak""",,draft,,,2026-07-26T19:43:37.952Z,a0000000-0000-0000-0000-000000000001,2026-07-26T19:43:37.952Z,,
983cd814-db27-463e-8979-289882e1f528,CC-SE47-beton-prategang,Beton Prategang,"Kategori pekerjaan SE 47/2026 — sheet ""Beton Prategang""",,draft,,,2026-07-26T19:43:37.999Z,a0000000-0000-0000-0000-000000000001,2026-07-26T19:43:37.999Z,,
3f9a2e04-eadd-43b1-aeda-9a5fb4cc7066,CC-SE47-struktur-kayu,Struktur Kayu,"Kategori pekerjaan SE 47/2026 — sheet ""Struktur Kayu""",,draft,,,2026-07-26T19:43:38.044Z,a0000000-0000-0000-0000-000000000001,2026-07-26T19:43:38.044Z,,
