id,company_id,doc_type,period,prefix,last_number,updated_at
f3486651-d751-4a9f-a851-a9c4280b64fd,48befb54-113d-4e1b-b4dd-91cf79d6d8a0,invoice,2026-09,,26,2026-07-29T08:55:05.606Z
6bd451c2-79d8-4012-92d5-5b12cd99acd1,48befb54-113d-4e1b-b4dd-91cf79d6d8a0,invoice,2026-03,,26,2026-07-29T08:55:05.606Z
6dd4b1ae-509b-4ff3-a434-a9e010c471cb,48befb54-113d-4e1b-b4dd-91cf79d6d8a0,invoice,2026-04,,26,2026-07-29T08:55:05.606Z
baa0dc1f-cc68-45ff-aefb-e7a8daa1b065,48befb54-113d-4e1b-b4dd-91cf79d6d8a0,invoice,2025-10,,3,2026-07-29T08:55:05.606Z
90691e5f-04b4-48e1-b350-7e3f5349ce10,48befb54-113d-4e1b-b4dd-91cf79d6d8a0,invoice,2025-05,,3,2026-07-29T08:55:05.606Z
423f4c89-885c-4eb9-8329-587b56be0768,48befb54-113d-4e1b-b4dd-91cf79d6d8a0,invoice,2026-02,,26,2026-07-29T08:55:05.606Z
96407cf8-d13b-4178-82f2-2402c230d46c,48befb54-113d-4e1b-b4dd-91cf79d6d8a0,invoice,2025-09,,3,2026-07-29T08:55:05.606Z
ed314c13-7f68-4a98-b912-db565dacb03a,48befb54-113d-4e1b-b4dd-91cf79d6d8a0,invoice,2026-01,,26,2026-07-29T08:55:05.606Z
c66002d8-0220-4f90-9410-b4b95f1e2475,48befb54-113d-4e1b-b4dd-91cf79d6d8a0,invoice,2026-06,,26,2026-07-29T08:55:05.606Z
407641f8-a066-4bad-b14c-30dbbda1c0e3,48befb54-113d-4e1b-b4dd-91cf79d6d8a0,po,2026,,147,2026-08-03T12:55:23.250Z
ab08141e-97c8-4d95-b54b-4c7c8b6f6db9,48befb54-113d-4e1b-b4dd-91cf79d6d8a0,gr,2026,,574,2026-08-03T12:55:23.508Z
b598e370-fb57-419a-b1b4-02674240a7c0,48befb54-113d-4e1b-b4dd-91cf79d6d8a0,invoice,2026-08,,410,2026-08-03T12:55:55.905Z
c1e3e50d-67e9-4587-8f1e-45c2da9cab4c,48befb54-113d-4e1b-b4dd-91cf79d6d8a0,invoice,2026-07,,218,2026-07-31T16:53:07.328Z
0aaeff8f-247b-4bba-84ba-7028068fdcfe,48befb54-113d-4e1b-b4dd-91cf79d6d8a0,mr,2026,,5,2026-07-29T08:47:31.682Z
31b6fbbb-756c-48d3-94ed-4670d4db9c09,48befb54-113d-4e1b-b4dd-91cf79d6d8a0,invoice,2025-11,,3,2026-07-29T08:55:05.606Z
c3bfb8bd-0491-4a83-8d91-bb537de7c459,48befb54-113d-4e1b-b4dd-91cf79d6d8a0,invoice,2025-07,,3,2026-07-29T08:55:05.606Z
fc417b20-3ac8-4ff8-8a8b-6fac36354242,48befb54-113d-4e1b-b4dd-91cf79d6d8a0,invoice,2025-04,,3,2026-07-29T08:55:05.606Z
0f9a91cd-fb77-40fd-958a-86e459e18490,48befb54-113d-4e1b-b4dd-91cf79d6d8a0,invoice,2025-08,,3,2026-07-29T08:55:05.606Z
7282c0b9-5d09-442f-958c-e990bbfb972a,48befb54-113d-4e1b-b4dd-91cf79d6d8a0,invoice,2025-02,,3,2026-07-29T08:55:05.606Z
752dc310-60ae-4e4e-93fd-4d79cfd78cd1,48befb54-113d-4e1b-b4dd-91cf79d6d8a0,invoice,2025-01,,3,2026-07-29T08:55:05.606Z
8dfea38f-e428-4e37-850b-c494f7a98f3a,48befb54-113d-4e1b-b4dd-91cf79d6d8a0,invoice,2026-12,,26,2026-07-29T08:55:05.606Z
c39e9287-2841-4605-a2e4-9b9bf7a044cc,48befb54-113d-4e1b-b4dd-91cf79d6d8a0,invoice,2026-10,,26,2026-07-29T08:55:05.606Z
f097d9c3-04fb-47f6-baac-a6dba2a8f40f,48befb54-113d-4e1b-b4dd-91cf79d6d8a0,invoice,2026-11,,26,2026-07-29T08:55:05.606Z
39367d31-ee52-4f97-9f0d-55c46f79569d,48befb54-113d-4e1b-b4dd-91cf79d6d8a0,invoice,2025-06,,3,2026-07-29T08:55:05.606Z
52e77b30-213d-49f7-bcf6-828342e34ff6,48befb54-113d-4e1b-b4dd-91cf79d6d8a0,invoice,2026-05,,26,2026-07-29T08:55:05.606Z
8fe5137b-ddd3-4c18-9052-eda3404fe70e,48befb54-113d-4e1b-b4dd-91cf79d6d8a0,invoice,2025-12,,3,2026-07-29T08:55:05.606Z
f4d4ee56-2c4c-4f8d-ab1e-48cfe8498986,48befb54-113d-4e1b-b4dd-91cf79d6d8a0,invoice,2025-03,,3,2026-07-29T08:55:05.606Z
