id,project_id,termin_schedule_id,expense_report_id,invoice_number,invoice_type,base_amount,commission_amount,tax_amount,total_amount,amount_paid,amount_due,issued_date,due_date,paid_date,status,notes,created_by,created_at,updated_at,total_pengeluaran,commission_pct,retensi_pct,retensi_amount,description,penalty_waived,penalty_waived_reason,penalty_waived_by,penalty_waived_at,dp_deduction_amount,dp_deduction_pct
e1000000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000001,d1000000-0000-0000-0000-000000000001,,INV/PRL/2026/001,termin_billing,85500000.00,0.00,1710000.00,87210000.00,87210000.00,0.00,2026-01-31T17:00:00.000Z,2026-02-07T17:00:00.000Z,2026-02-05T17:00:00.000Z,paid,,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,,,,0.00,,false,,,,0.00,
e1000000-0000-0000-0000-000000000002,c0000000-0000-0000-0000-000000000001,d1000000-0000-0000-0000-000000000002,,INV/PRL/2026/002,termin_billing,71250000.00,0.00,1425000.00,72675000.00,72675000.00,0.00,2026-03-14T17:00:00.000Z,2026-03-21T17:00:00.000Z,2026-03-19T17:00:00.000Z,paid,,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,,,,0.00,,false,,,,0.00,
e3000000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000003,d3000000-0000-0000-0000-000000000001,,INV/PRL/2026/003,termin_billing,28500000.00,0.00,570000.00,29070000.00,29070000.00,0.00,2026-03-31T17:00:00.000Z,2026-04-07T17:00:00.000Z,2026-04-04T17:00:00.000Z,paid,,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,,,,0.00,,false,,,,0.00,
e3000000-0000-0000-0000-000000000002,c0000000-0000-0000-0000-000000000003,d3000000-0000-0000-0000-000000000002,,INV/PRL/2026/004,termin_billing,23750000.00,0.00,475000.00,24225000.00,24225000.00,0.00,2026-04-30T17:00:00.000Z,2026-05-07T17:00:00.000Z,2026-05-05T17:00:00.000Z,paid,,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,,,,0.00,,false,,,,0.00,
e4000000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000004,d4000000-0000-0000-0000-000000000001,,INV/PRL/2026/007,termin_billing,14400000.00,0.00,288000.00,14688000.00,14688000.00,0.00,2026-01-09T17:00:00.000Z,2026-01-16T17:00:00.000Z,2026-01-14T17:00:00.000Z,paid,,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,,,,0.00,,false,,,,0.00,
e4000000-0000-0000-0000-000000000002,c0000000-0000-0000-0000-000000000004,d4000000-0000-0000-0000-000000000002,,INV/PRL/2026/008,termin_billing,19200000.00,0.00,384000.00,19584000.00,19584000.00,0.00,2026-02-09T17:00:00.000Z,2026-02-16T17:00:00.000Z,2026-02-13T17:00:00.000Z,paid,,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,,,,0.00,,false,,,,0.00,
e4000000-0000-0000-0000-000000000003,c0000000-0000-0000-0000-000000000004,d4000000-0000-0000-0000-000000000003,,INV/PRL/2026/010,termin_billing,14400000.00,0.00,288000.00,14688000.00,14688000.00,0.00,2026-03-09T17:00:00.000Z,2026-03-16T17:00:00.000Z,2026-03-14T17:00:00.000Z,paid,,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,,,,0.00,,false,,,,0.00,
e6000000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000006,d6000000-0000-0000-0000-000000000001,,INV/PRL/2026/005,termin_billing,195000000.00,0.00,3900000.00,198900000.00,198900000.00,0.00,2026-01-14T17:00:00.000Z,2026-01-21T17:00:00.000Z,2026-01-19T17:00:00.000Z,paid,,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,,,,0.00,,false,,,,0.00,
e8000000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000008,d8000000-0000-0000-0000-000000000001,,INV/PRL/2026/012,termin_billing,255000000.00,0.00,5100000.00,260100000.00,260100000.00,0.00,2026-03-31T17:00:00.000Z,2026-04-07T17:00:00.000Z,2026-04-06T17:00:00.000Z,paid,,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,,,,0.00,,false,,,,0.00,
e9000000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000009,d9000000-0000-0000-0000-000000000001,,INV/PRL/2025/001,termin_billing,126000000.00,0.00,2520000.00,128520000.00,128520000.00,0.00,2025-09-30T17:00:00.000Z,2025-10-07T17:00:00.000Z,2025-10-05T17:00:00.000Z,paid,,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,,,,0.00,,false,,,,0.00,
