id,project_id,mandor_id,notes,status,assigned_by,assigned_at,created_at,updated_at
fa010000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000001,a0000000-0000-0000-0000-000000000004,Mandor utama struktur dan finishing,active,a0000000-0000-0000-0000-000000000001,2026-01-31T17:00:00.000Z,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
fa010000-0000-0000-0000-000000000002,c0000000-0000-0000-0000-000000000001,a0000000-0000-0000-0000-000000000005,Mandor plumbing dan elektrikal,active,a0000000-0000-0000-0000-000000000001,2026-01-31T17:00:00.000Z,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
fa020000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000002,a0000000-0000-0000-0000-000000000004,Mandor struktur lantai 1,active,a0000000-0000-0000-0000-000000000001,2026-03-14T17:00:00.000Z,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
fa020000-0000-0000-0000-000000000002,c0000000-0000-0000-0000-000000000002,a0000000-0000-0000-0000-000000000006,Mandor struktur lantai 2,active,a0000000-0000-0000-0000-000000000001,2026-03-14T17:00:00.000Z,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
fa030000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000003,a0000000-0000-0000-0000-000000000005,Mandor renovasi dapur dan KM,active,a0000000-0000-0000-0000-000000000001,2026-03-31T17:00:00.000Z,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
fa040000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000004,a0000000-0000-0000-0000-000000000007,Mandor carport dan pagar,completed,a0000000-0000-0000-0000-000000000001,2026-01-09T17:00:00.000Z,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
fa050000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000005,a0000000-0000-0000-0000-000000000006,Mandor fasad dan taman,active,a0000000-0000-0000-0000-000000000001,2026-04-30T17:00:00.000Z,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
fa060000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000006,a0000000-0000-0000-0000-000000000004,Mandor utama struktur,active,a0000000-0000-0000-0000-000000000001,2026-01-14T17:00:00.000Z,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
fa060000-0000-0000-0000-000000000002,c0000000-0000-0000-0000-000000000006,a0000000-0000-0000-0000-000000000013,Mandor finishing dan interior,active,a0000000-0000-0000-0000-000000000001,2026-03-31T17:00:00.000Z,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
fa070000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000007,a0000000-0000-0000-0000-000000000007,Mandor renovasi total,active,a0000000-0000-0000-0000-000000000001,2025-10-31T17:00:00.000Z,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
fa080000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000008,a0000000-0000-0000-0000-000000000014,Mandor villa Lembang,active,a0000000-0000-0000-0000-000000000001,2026-03-31T17:00:00.000Z,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
fa110000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000011,a0000000-0000-0000-0000-000000000013,Mandor pondasi dan struktur,active,a0000000-0000-0000-0000-000000000001,2026-02-14T17:00:00.000Z,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
fa110000-0000-0000-0000-000000000002,c0000000-0000-0000-0000-000000000011,a0000000-0000-0000-0000-000000000014,Mandor rangka baja,active,a0000000-0000-0000-0000-000000000001,2026-02-28T17:00:00.000Z,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
fa130000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000013,a0000000-0000-0000-0000-000000000005,Mandor tambah ruang,active,a0000000-0000-0000-0000-000000000001,2026-02-28T17:00:00.000Z,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
fa140000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000014,a0000000-0000-0000-0000-000000000007,Mandor renovasi toko,active,a0000000-0000-0000-0000-000000000001,2025-11-30T17:00:00.000Z,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
671f0538-84ed-4724-ac6c-29f1e3ba1efd,c0000000-0000-0000-0000-000000000002,a0000000-0000-0000-0000-000000000005,,active,a0000000-0000-0000-0000-000000000005,2026-07-22T17:00:00.000Z,2026-07-23T21:10:16.217Z,2026-07-23T21:10:16.217Z
