id,project_id,title,description,target_date,completed_at,status,sort_order,created_by,created_at,updated_at
fe010000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000001,Pekerjaan bongkar selesai,,2026-02-09T17:00:00.000Z,2026-02-08T17:00:00.000Z,completed,1,a0000000-0000-0000-0000-000000000002,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
fe010000-0000-0000-0000-000000000002,c0000000-0000-0000-0000-000000000001,Struktur pondasi & sloof selesai,,2026-02-28T17:00:00.000Z,2026-03-02T17:00:00.000Z,completed,2,a0000000-0000-0000-0000-000000000002,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
fe010000-0000-0000-0000-000000000003,c0000000-0000-0000-0000-000000000001,Dinding bata & plester selesai,,2026-04-14T17:00:00.000Z,2026-04-17T17:00:00.000Z,completed,3,a0000000-0000-0000-0000-000000000002,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
fe010000-0000-0000-0000-000000000004,c0000000-0000-0000-0000-000000000001,Finishing 50% selesai,,2026-05-30T17:00:00.000Z,,in_progress,4,a0000000-0000-0000-0000-000000000002,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
fe010000-0000-0000-0000-000000000005,c0000000-0000-0000-0000-000000000001,Serah terima proyek,,2026-07-30T17:00:00.000Z,,pending,5,a0000000-0000-0000-0000-000000000002,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
fe020000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000002,Galian & pondasi selesai,,2026-04-14T17:00:00.000Z,2026-04-19T17:00:00.000Z,completed,1,a0000000-0000-0000-0000-000000000002,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
fe030000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000003,Bongkaran & persiapan selesai,,2026-04-09T17:00:00.000Z,2026-04-08T17:00:00.000Z,completed,1,a0000000-0000-0000-0000-000000000003,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
fe030000-0000-0000-0000-000000000002,c0000000-0000-0000-0000-000000000003,Keramik dapur selesai,,2026-05-14T17:00:00.000Z,2026-05-17T17:00:00.000Z,completed,2,a0000000-0000-0000-0000-000000000003,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
fe030000-0000-0000-0000-000000000003,c0000000-0000-0000-0000-000000000003,Instalasi sanitasi KM selesai,,2026-06-09T17:00:00.000Z,,in_progress,3,a0000000-0000-0000-0000-000000000003,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
fe030000-0000-0000-0000-000000000004,c0000000-0000-0000-0000-000000000003,Serah terima,,2026-06-29T17:00:00.000Z,,pending,4,a0000000-0000-0000-0000-000000000003,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
fe040000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000004,Pondasi & struktur baja,,2026-01-24T17:00:00.000Z,2026-01-23T17:00:00.000Z,completed,1,a0000000-0000-0000-0000-000000000003,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
fe040000-0000-0000-0000-000000000002,c0000000-0000-0000-0000-000000000004,Carport & atap selesai,,2026-02-27T17:00:00.000Z,2026-02-25T17:00:00.000Z,completed,2,a0000000-0000-0000-0000-000000000003,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
fe040000-0000-0000-0000-000000000003,c0000000-0000-0000-0000-000000000004,"Pagar & cat selesai, serah terima",,2026-03-09T17:00:00.000Z,2026-03-08T17:00:00.000Z,completed,3,a0000000-0000-0000-0000-000000000003,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
fe050000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000005,Persiapan & bongkar fasad lama,,2026-05-14T17:00:00.000Z,2026-05-13T17:00:00.000Z,completed,1,a0000000-0000-0000-0000-000000000002,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
fe050000-0000-0000-0000-000000000002,c0000000-0000-0000-0000-000000000005,Plester fasad baru selesai,,2026-06-29T17:00:00.000Z,,in_progress,2,a0000000-0000-0000-0000-000000000002,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
fe050000-0000-0000-0000-000000000003,c0000000-0000-0000-0000-000000000005,Batu alam & cat fasad,,2026-07-30T17:00:00.000Z,,pending,3,a0000000-0000-0000-0000-000000000002,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
fe050000-0000-0000-0000-000000000004,c0000000-0000-0000-0000-000000000005,Taman & landscape selesai,,2026-08-30T17:00:00.000Z,,pending,4,a0000000-0000-0000-0000-000000000002,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
