id,key,module,label,description,sort_order,created_at
2c989d9e-5590-426d-80b6-6de481c1dda6,projects:view,projects,Lihat Proyek,Melihat daftar dan detail proyek,10,2026-06-15T09:17:23.831Z
db1e0fed-b916-476b-bfa9-5b15737187f2,projects:create,projects,Buat Proyek Baru,Membuat proyek baru,20,2026-06-15T09:17:23.831Z
f111e20e-3833-4116-9711-ccaaee02b377,projects:edit,projects,Edit Proyek,Mengubah data proyek,30,2026-06-15T09:17:23.831Z
dd1d59f2-036c-4751-9138-6865a05362ec,projects:status,projects,Ubah Status Proyek,Mengubah status proyek (aktif/selesai/dll),40,2026-06-15T09:17:23.831Z
281a6959-08b6-4746-a61f-c750171c87ff,projects:delete,projects,Hapus Proyek,Soft-delete proyek,50,2026-06-15T09:17:23.831Z
f776964b-4d4f-4fa2-8793-763ac9512bcd,projects:contract,projects,Generate Kontrak PDF,Membuat dokumen kontrak PDF,60,2026-06-15T09:17:23.831Z
7bce7904-e915-47bb-9e3f-bb5c695e28a3,finance:view,finance,Lihat Keuangan,"Melihat dashboard keuangan, invoice, kasbon",10,2026-06-15T09:17:23.831Z
d4fad1f0-4983-46f7-bd54-42941f60942c,finance:invoice:create,finance,Buat Invoice,Membuat invoice ke klien,20,2026-06-15T09:17:23.831Z
3da7175f-481b-44a4-a418-2d9b2ed1d326,finance:invoice:pay,finance,Catat Pembayaran Invoice,Mencatat pembayaran masuk dari klien,30,2026-06-15T09:17:23.831Z
99f5e8d9-a933-424e-a4d4-6137b3e34e47,finance:termin:pay,finance,Bayar Termin,Menandai termin sebagai terbayar,40,2026-06-15T09:17:23.831Z
2debb9d6-7425-4453-8a1d-2d693d78dcbf,finance:expense:view,finance,Lihat Laporan Pengeluaran,Melihat laporan pengeluaran komisi,50,2026-06-15T09:17:23.831Z
8e8fda96-14b1-4ab8-a050-a138c64731f2,finance:expense:create,finance,Buat Laporan Pengeluaran,Membuat laporan pengeluaran komisi,60,2026-06-15T09:17:23.831Z
86af5e07-928a-49fd-a306-a027b8b67407,finance:tax:view,finance,Lihat Rekap Pajak,Melihat rekap PPh/PPN per proyek,70,2026-06-15T09:17:23.831Z
a86c6241-0f2d-4024-9398-bd8c99d70964,cash:view,cash,Lihat Kas,Melihat saldo dan riwayat akun kas,10,2026-06-15T09:17:23.831Z
aac8c285-1b8c-4981-9d70-6cba5741a168,cash:account:manage,cash,Kelola Akun Kas,Membuat dan mengedit akun kas,20,2026-06-15T09:17:23.831Z
0f12bb4d-22f4-48a2-8f38-0c58a2214e22,cash:transfer:create,cash,Transfer Dana,Mencatat transfer antar akun kas,30,2026-06-15T09:17:23.831Z
1692bca5-8ef9-4170-8f35-4baf92cc8508,cash:transfer:confirm,cash,Konfirmasi Transfer,Mengkonfirmasi transfer dana,40,2026-06-15T09:17:23.831Z
61fda2c1-1462-43fa-a38e-b9e0b93ad826,cash:expense:create,cash,Catat Pengeluaran,Mencatat pengeluaran proyek dengan nota,50,2026-06-15T09:17:23.831Z
c9087fdf-8d38-480b-9b40-a4d43afedb79,cash:expense:approve,cash,Approve Pengeluaran,Menyetujui atau menolak pengeluaran proyek,60,2026-06-15T09:17:23.831Z
dc3242f9-2f5f-4869-aee0-c6590c118dbb,mandor:view,mandor,Lihat Data Mandor,Melihat ringkasan dan data mandor,10,2026-06-15T09:17:23.831Z
e1d26d21-264f-4e25-b85c-9fa86f42702c,mandor:assign,mandor,Assign Mandor,Menugaskan mandor ke proyek,20,2026-06-15T09:17:23.831Z
9c635136-2cb3-48ee-8dc0-b46af01e6bc9,mandor:scope:manage,mandor,Kelola Work Scope,Membuat dan mengedit scope pekerjaan,30,2026-06-15T09:17:23.831Z
42ec4f60-6a53-42ff-a6f9-6df73980bcb1,mandor:scope:item,mandor,Kelola Item Scope,Menambah dan mengedit rincian item pekerjaan,40,2026-06-15T09:17:23.831Z
