id,project_id,reported_by,pct_overall,weather,worker_count,notes,logged_at,created_at,mode,rab_item_id,pct_completion
9f010000-0000-0000-0000-000000000002,c0000000-0000-0000-0000-000000000001,a0000000-0000-0000-0000-000000000004,25.00,Cerah,10,Galian pondasi dan cor sloof selesai,2026-03-01T01:00:00.000Z,2026-06-13T16:41:44.391Z,daily,,
9f010000-0000-0000-0000-000000000003,c0000000-0000-0000-0000-000000000001,a0000000-0000-0000-0000-000000000004,45.00,Berawan,12,Pasang bata dan kolom selesai,2026-04-01T01:00:00.000Z,2026-06-13T16:41:44.391Z,daily,,
9f010000-0000-0000-0000-000000000004,c0000000-0000-0000-0000-000000000001,a0000000-0000-0000-0000-000000000002,55.00,Cerah,10,Plester dan acian 70% selesai,2026-05-01T01:00:00.000Z,2026-06-13T16:41:44.391Z,daily,,
9f010000-0000-0000-0000-000000000005,c0000000-0000-0000-0000-000000000001,a0000000-0000-0000-0000-000000000002,65.00,Cerah,9,"Keramik lantai 1 selesai, mulai cat primer",2026-06-01T01:00:00.000Z,2026-06-13T16:41:44.391Z,daily,,
9f020000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000002,a0000000-0000-0000-0000-000000000004,10.00,Cerah,12,Galian dan cor pondasi bore pile,2026-04-01T01:00:00.000Z,2026-06-13T16:41:44.391Z,daily,,
9f020000-0000-0000-0000-000000000002,c0000000-0000-0000-0000-000000000002,a0000000-0000-0000-0000-000000000004,25.00,Cerah,14,Kolom lantai 1 dan sloof selesai,2026-05-01T01:00:00.000Z,2026-06-13T16:41:44.391Z,daily,,
9f020000-0000-0000-0000-000000000003,c0000000-0000-0000-0000-000000000002,a0000000-0000-0000-0000-000000000002,40.00,Hujan,10,Dinding bata lantai 1 80% selesai,2026-06-01T01:00:00.000Z,2026-06-13T16:41:44.391Z,daily,,
9f030000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000003,a0000000-0000-0000-0000-000000000005,20.00,Cerah,6,Bongkar dapur dan KM lama selesai,2026-04-05T01:00:00.000Z,2026-06-13T16:41:44.391Z,daily,,
9f030000-0000-0000-0000-000000000002,c0000000-0000-0000-0000-000000000003,a0000000-0000-0000-0000-000000000005,50.00,Cerah,7,Pasang keramik dapur dan dinding KM 1 selesai,2026-05-10T01:00:00.000Z,2026-06-13T16:41:44.391Z,daily,,
9f030000-0000-0000-0000-000000000003,c0000000-0000-0000-0000-000000000003,a0000000-0000-0000-0000-000000000003,85.00,Berawan,6,"Instalasi sanitasi KM 2 selesai, tinggal cat",2026-06-05T01:00:00.000Z,2026-06-13T16:41:44.391Z,daily,,
