id,profile_type,designation,h_mm,b_mm,t1_mm,t2_mm,weight_per_bar_kg,standard_length_m,weight_kg_per_m,source_note,is_active,created_at,created_by
141f7ba2-518a-484e-aa76-411e4a060ae3,WF,100x50x5x7,100.00,50.00,5.00,7.00,112.000,12.00,9.3333,DAFTAR BESI (workbook proyek Cibuluh) — verbatim,true,2026-07-28T13:25:51.781Z,
f8c929a5-23a9-4b5a-a290-f0a2ba05fb6e,WF,125x60x6x8,125.00,60.00,6.00,8.00,158.000,12.00,13.1667,DAFTAR BESI (workbook proyek Cibuluh) — verbatim,true,2026-07-28T13:25:51.781Z,
1c3cbc23-623b-49f5-afa1-8778a72527cf,WF,148x100x6x9,148.00,100.00,6.00,9.00,253.000,12.00,21.0833,DAFTAR BESI (workbook proyek Cibuluh) — verbatim,true,2026-07-28T13:25:51.781Z,
14c501b5-3640-4c6f-877f-4af8965b3a30,WF,150x75x5x7,150.00,75.00,5.00,7.00,168.000,12.00,14.0000,DAFTAR BESI (workbook proyek Cibuluh) — verbatim,true,2026-07-28T13:25:51.781Z,
eb6a8858-7567-4db3-8e41-e27648baeda3,WF,175x90x5x8,175.00,90.00,5.00,8.00,217.000,12.00,18.0833,DAFTAR BESI (workbook proyek Cibuluh) — verbatim,true,2026-07-28T13:25:51.781Z,
3d660483-4463-4021-b762-bab831ec1818,WF,198x99x4.5x7,198.00,99.00,4.50,7.00,218.000,12.00,18.1667,DAFTAR BESI (workbook proyek Cibuluh) — verbatim,true,2026-07-28T13:25:51.781Z,
37aebb4e-4fa8-4170-8067-bc1cc46f3551,WF,200x100x5.5x8,200.00,100.00,5.50,8.00,256.000,12.00,21.3333,DAFTAR BESI (workbook proyek Cibuluh) — verbatim,true,2026-07-28T13:25:51.781Z,
076289d3-86b2-475a-b1af-3a13dfe1121c,WF,248x124x5x8,248.00,124.00,5.00,8.00,308.000,12.00,25.6667,DAFTAR BESI (workbook proyek Cibuluh) — verbatim,true,2026-07-28T13:25:51.781Z,
b820c4c8-a817-4c16-aafb-b5a5bd68750f,WF,250x125x6x9,250.00,125.00,6.00,9.00,355.000,12.00,29.5833,DAFTAR BESI (workbook proyek Cibuluh) — verbatim,true,2026-07-28T13:25:51.781Z,
24abb518-228d-4716-85c2-fb04f251692a,WF,298x149x6x8,298.00,149.00,6.00,8.00,384.000,12.00,32.0000,DAFTAR BESI (workbook proyek Cibuluh) — verbatim,true,2026-07-28T13:25:51.781Z,
1edc5d1f-6d12-4def-99f6-51fb56e40706,WF,300x150x6.5x9,300.00,150.00,6.50,9.00,440.000,12.00,36.6667,DAFTAR BESI (workbook proyek Cibuluh) — verbatim,true,2026-07-28T13:25:51.781Z,
e650b4e5-7d14-4850-bc15-55a0ee14c409,WF,346x174x6x9,346.00,174.00,6.00,9.00,497.000,12.00,41.4167,DAFTAR BESI (workbook proyek Cibuluh) — verbatim,true,2026-07-28T13:25:51.781Z,
e540d057-d6bb-4fee-9c9d-18c4de5e63c0,WF,350x175x7x11,350.00,175.00,7.00,11.00,595.000,12.00,49.5833,DAFTAR BESI (workbook proyek Cibuluh) — verbatim,true,2026-07-28T13:25:51.781Z,
8cc45b3b-e862-4c6a-8b4f-4523e31e4352,WF,396x199x7x11,396.00,199.00,7.00,11.00,679.000,12.00,56.5833,DAFTAR BESI (workbook proyek Cibuluh) — verbatim,true,2026-07-28T13:25:51.781Z,
9190c7bb-a2a8-4457-bc7e-63fd13686a15,WF,400x200x8x13,400.00,200.00,8.00,13.00,792.000,12.00,66.0000,DAFTAR BESI (workbook proyek Cibuluh) — verbatim,true,2026-07-28T13:25:51.781Z,
74230162-2666-4d5c-87b4-1025ac5d36b2,WF,446x199x8x12,446.00,199.00,8.00,12.00,794.000,12.00,66.1667,DAFTAR BESI (workbook proyek Cibuluh) — verbatim,true,2026-07-28T13:25:51.781Z,
fcd80cba-fa9b-4ffe-b251-50251a488d8a,WF,450x200x9x14,450.00,200.00,9.00,14.00,912.000,12.00,76.0000,DAFTAR BESI (workbook proyek Cibuluh) — verbatim,true,2026-07-28T13:25:51.781Z,
2f1587ec-22dd-46de-812e-da78f553cc3d,WF,500x200x10x16,500.00,200.00,10.00,16.00,1075.000,12.00,89.5833,DAFTAR BESI (workbook proyek Cibuluh) — verbatim,true,2026-07-28T13:25:51.781Z,
eeda54e3-0a39-436b-8d66-8c94fd1ed57a,WF,588x200x12x20,588.00,200.00,12.00,20.00,1812.000,12.00,151.0000,DAFTAR BESI (workbook proyek Cibuluh) — verbatim,true,2026-07-28T13:25:51.781Z,
f18f1044-61ba-4ba5-8105-da7c6b44dd0d,WF,600x300x11x17,600.00,300.00,11.00,17.00,1272.000,12.00,106.0000,DAFTAR BESI (workbook proyek Cibuluh) — verbatim,true,2026-07-28T13:25:51.781Z,
c08db06a-d238-462c-9dbe-072148287e28,WF,700x300x13x24,700.00,300.00,13.00,24.00,2220.000,12.00,185.0000,DAFTAR BESI (workbook proyek Cibuluh) — verbatim,true,2026-07-28T13:25:51.781Z,
95404ab7-bbdc-4f18-b683-e9cb2cf3647a,WF,800x300x14x26,800.00,300.00,14.00,26.00,2520.000,12.00,210.0000,DAFTAR BESI (workbook proyek Cibuluh) — verbatim,true,2026-07-28T13:25:51.781Z,
e7fba172-d5c0-4c5b-89ea-bf49801581f4,WF,900x300x16x28,900.00,300.00,16.00,28.00,2916.000,12.00,243.0000,DAFTAR BESI (workbook proyek Cibuluh) — verbatim,true,2026-07-28T13:25:51.781Z,
520879a8-bf42-4894-b6da-d4224622ed40,H,100x100x6x8,100.00,100.00,6.00,8.00,206.000,12.00,17.1667,DAFTAR BESI (workbook proyek Cibuluh) — verbatim,true,2026-07-28T13:25:51.781Z,
59f63500-e618-40df-9253-78d6b7c4b7a8,H,125x125x6.5x9,125.00,125.00,6.50,9.00,286.000,12.00,23.8333,DAFTAR BESI (workbook proyek Cibuluh) — verbatim,true,2026-07-28T13:25:51.781Z,
f0274cfa-eada-4bda-8bec-779079670e7e,H,150x150x7x10,150.00,150.00,7.00,10.00,378.000,12.00,31.5000,DAFTAR BESI (workbook proyek Cibuluh) — verbatim,true,2026-07-28T13:25:51.781Z,
853dcd7d-5e12-4670-9d69-1cc237d51f99,H,175x175x7.5x11,175.00,175.00,7.50,11.00,482.000,12.00,40.1667,DAFTAR BESI (workbook proyek Cibuluh) — verbatim,true,2026-07-28T13:25:51.781Z,
3f3e7809-9a82-4828-a607-d5b0fabdfb12,H,200x200x8x12,200.00,200.00,8.00,12.00,599.000,12.00,49.9167,DAFTAR BESI (workbook proyek Cibuluh) — verbatim,true,2026-07-28T13:25:51.781Z,
3c1a9191-dc00-427c-9023-1f96d37374ab,H,250x250x9x14,250.00,250.00,9.00,14.00,869.000,12.00,72.4167,DAFTAR BESI (workbook proyek Cibuluh) — verbatim,true,2026-07-28T13:25:51.781Z,
86731cb7-1ba4-4c12-8ccb-cbd3f2ecba54,H,300x300x10x15,300.00,300.00,10.00,15.00,1128.000,12.00,94.0000,DAFTAR BESI (workbook proyek Cibuluh) — verbatim,true,2026-07-28T13:25:51.781Z,
5fda1a24-93cf-4336-b940-9d8cdf96ea76,H,350x350x12x19,350.00,350.00,12.00,19.00,1644.000,12.00,137.0000,DAFTAR BESI (workbook proyek Cibuluh) — verbatim,true,2026-07-28T13:25:51.781Z,
40c5b2bb-125d-4958-a16c-ab9e682e9dea,H,400x400x13x21,400.00,400.00,13.00,21.00,2064.000,12.00,172.0000,DAFTAR BESI (workbook proyek Cibuluh) — verbatim,true,2026-07-28T13:25:51.781Z,
ad80f4d5-f2aa-415f-b179-b52755b132e8,L,25x25x3,25.00,25.00,3.00,,6.720,6.00,1.1200,DAFTAR BESI (workbook proyek Cibuluh) — verbatim,true,2026-07-28T13:25:51.781Z,
0d8edb19-0cc8-4a0f-9917-11305d0b84c0,L,30x30x3,30.00,30.00,3.00,,8.160,6.00,1.3600,DAFTAR BESI (workbook proyek Cibuluh) — verbatim,true,2026-07-28T13:25:51.781Z,
2e1479c4-4fa8-475a-8c4c-64e56fdc86b7,L,40x40x4,40.00,40.00,4.00,,11.000,6.00,1.8333,DAFTAR BESI (workbook proyek Cibuluh) — verbatim,true,2026-07-28T13:25:51.781Z,
9b9b1e94-698d-4903-909c-09a85baaf122,L,50x50x4,50.00,50.00,4.00,,18.500,6.00,3.0833,DAFTAR BESI (workbook proyek Cibuluh) — verbatim,true,2026-07-28T13:25:51.781Z,
bfce2cd9-90c2-4803-bfe0-49d4568ffb5c,L,50x50x5,50.00,50.00,5.00,,22.680,6.00,3.7800,DAFTAR BESI (workbook proyek Cibuluh) — verbatim,true,2026-07-28T13:25:51.781Z,
c59bde35-f75c-4306-b088-a4438f7f3668,L,60x60x5,60.00,60.00,5.00,,27.300,6.00,4.5500,DAFTAR BESI (workbook proyek Cibuluh) — verbatim,true,2026-07-28T13:25:51.781Z,
d61a890e-fcd4-46c3-87bf-2dbac7037cee,L,60x60x6,60.00,60.00,6.00,,32.520,6.00,5.4200,DAFTAR BESI (workbook proyek Cibuluh) — verbatim,true,2026-07-28T13:25:51.781Z,
a026e26d-f4ce-47fb-9038-d5be1870a6d5,L,65x65x6,65.00,65.00,6.00,,35.460,6.00,5.9100,DAFTAR BESI (workbook proyek Cibuluh) — verbatim,true,2026-07-28T13:25:51.781Z,
eef55cd8-e6d2-4ef4-9ea0-bb249c98fcaf,L,70x70x7,70.00,70.00,7.00,,44.280,6.00,7.3800,DAFTAR BESI (workbook proyek Cibuluh) — verbatim,true,2026-07-28T13:25:51.781Z,
5db9a008-a80b-4b04-b782-d65831c4e56f,L,75x75x6,75.00,75.00,6.00,,41.220,6.00,6.8700,DAFTAR BESI (workbook proyek Cibuluh) — verbatim,true,2026-07-28T13:25:51.781Z,
2061c472-289b-493a-be54-1b7346171b24,L,75x75x7,75.00,75.00,7.00,,47.640,6.00,7.9400,DAFTAR BESI (workbook proyek Cibuluh) — verbatim,true,2026-07-28T13:25:51.781Z,
cb330f5e-5237-46f6-a34f-5535461ac89f,L,75x75x8,75.00,75.00,8.00,,54.180,6.00,9.0300,DAFTAR BESI (workbook proyek Cibuluh) — verbatim,true,2026-07-28T13:25:51.781Z,
a48ce7cf-e398-4d7a-ba98-0a5af673b595,L,80x80x8,80.00,80.00,8.00,,57.960,6.00,9.6600,DAFTAR BESI (workbook proyek Cibuluh) — verbatim,true,2026-07-28T13:25:51.781Z,
6212f266-02e4-4f71-bffd-212a2d9b08fd,L,90x90x9,90.00,90.00,9.00,,73.200,6.00,12.2000,DAFTAR BESI (workbook proyek Cibuluh) — verbatim,true,2026-07-28T13:25:51.781Z,
730ef48e-7574-4aa4-b3f7-6f0b422a7864,L,100x100x8,100.00,100.00,8.00,,73.200,6.00,12.2000,DAFTAR BESI (workbook proyek Cibuluh) — verbatim,true,2026-07-28T13:25:51.781Z,
fa9edc45-dd65-44c3-82c3-bcb0d8cfa157,L,100x100x10,100.00,100.00,10.00,,90.600,6.00,15.1000,DAFTAR BESI (workbook proyek Cibuluh) — verbatim,true,2026-07-28T13:25:51.781Z,
2397037a-9767-4146-ad08-d48eaa6beff6,L,120x120x10,120.00,120.00,10.00,,218.400,12.00,18.2000,DAFTAR BESI (workbook proyek Cibuluh) — verbatim,true,2026-07-28T13:25:51.781Z,
7190161c-d93e-4d4f-a4bf-6c3de7b2cf03,L,120x120x11,120.00,120.00,11.00,,238.800,12.00,19.9000,DAFTAR BESI (workbook proyek Cibuluh) — verbatim,true,2026-07-28T13:25:51.781Z,
b0bdac7c-6ad0-4c83-808e-586473a6ac75,L,120x120x12,120.00,120.00,12.00,,260.000,12.00,21.6667,DAFTAR BESI (workbook proyek Cibuluh) — verbatim,true,2026-07-28T13:25:51.781Z,
aa45e91e-008b-4007-a23c-1d7af5fc7f4c,L,125x125x12,125.00,125.00,12.00,,280.000,12.00,23.3333,DAFTAR BESI (workbook proyek Cibuluh) — verbatim,true,2026-07-28T13:25:51.781Z,
9fdc5d6d-2325-482b-9706-e37afe59a63c,L,130x130x9,130.00,130.00,9.00,,214.200,12.00,17.8500,DAFTAR BESI (workbook proyek Cibuluh) — verbatim,true,2026-07-28T13:25:51.781Z,
bba1f18f-19be-4ab4-bc77-2a973da673ea,L,130x130x12,130.00,130.00,12.00,,280.200,12.00,23.3500,DAFTAR BESI (workbook proyek Cibuluh) — verbatim,true,2026-07-28T13:25:51.781Z,
b80bad97-b224-44e2-a7ae-11032c3a9200,L,150x150x12,150.00,150.00,12.00,,328.000,12.00,27.3333,DAFTAR BESI (workbook proyek Cibuluh) — verbatim,true,2026-07-28T13:25:51.781Z,
bce4bb36-fffb-4406-94fc-8567c104c143,L,150x150x15,150.00,150.00,15.00,,404.000,12.00,33.6667,DAFTAR BESI (workbook proyek Cibuluh) — verbatim,true,2026-07-28T13:25:51.781Z,
a87454b0-4bcf-44a5-aab4-4f3e3abdc222,L,200x200x15,200.00,200.00,15.00,,544.000,12.00,45.3333,DAFTAR BESI (workbook proyek Cibuluh) — verbatim,true,2026-07-28T13:25:51.781Z,
d184d5e8-a604-479d-86e7-d3d690abcdc3,L,200x200x20,200.00,200.00,20.00,,716.000,12.00,59.6667,DAFTAR BESI (workbook proyek Cibuluh) — verbatim,true,2026-07-28T13:25:51.781Z,
