id,project_id,material_id,movement_type,qty,qty_before,qty_after,reference_type,reference_id,notes,created_by,created_at
fd6bb3bf-9f08-46d3-9b6c-3f0288cb937e,c0000000-0000-0000-0000-000000000001,ca912336-50a2-49c4-ae84-2e2d3910e420,goods_receipt,80.000,0.000,80.000,goods_receipt,9de8a02e-f026-4625-bfd5-356d59710f15,GR-001,a0000000-0000-0000-0000-000000000002,2026-06-23T21:54:29.824Z
fabfefcb-c211-4c94-9799-fe3b435cdeb6,c0000000-0000-0000-0000-000000000001,ca912336-50a2-49c4-ae84-2e2d3910e420,usage,-48.000,80.000,32.000,manual,,Pemakaian pengecoran lt.2,a0000000-0000-0000-0000-000000000002,2026-06-23T21:54:29.824Z
a0d959f3-83ce-4aba-88b0-491aa3de4a20,c0000000-0000-0000-0000-000000000001,752e3d93-faf4-4b9a-9d0b-f8ad600b9a07,goods_receipt,200.000,0.000,200.000,goods_receipt,9de8a02e-f026-4625-bfd5-356d59710f15,GR-001,a0000000-0000-0000-0000-000000000002,2026-06-23T21:54:29.824Z
6793f70b-a6dc-4075-9f96-19ea097cb573,c0000000-0000-0000-0000-000000000001,752e3d93-faf4-4b9a-9d0b-f8ad600b9a07,usage,-115.000,200.000,85.000,manual,,Pemakaian kolom & ring balok,a0000000-0000-0000-0000-000000000002,2026-06-23T21:54:29.824Z
5a150e11-b0ea-42cc-bb27-fa925a1d4ef4,c0000000-0000-0000-0000-000000000001,c5b96cab-2e6c-44a5-b711-4a3e7e274128,goods_receipt,150.000,0.000,150.000,goods_receipt,9de8a02e-f026-4625-bfd5-356d59710f15,GR-001,a0000000-0000-0000-0000-000000000002,2026-06-23T21:54:29.824Z
44c9e929-dbdf-4209-8c5f-728b1ab32552,c0000000-0000-0000-0000-000000000001,c5b96cab-2e6c-44a5-b711-4a3e7e274128,usage,-90.000,150.000,60.000,manual,,Pemakaian kolom struktur,a0000000-0000-0000-0000-000000000002,2026-06-23T21:54:29.824Z
1397a541-bfa9-4d7f-9756-a07209dd2713,c0000000-0000-0000-0000-000000000002,dbf062e7-8758-4bbd-a590-6aa850fbb5a6,goods_receipt,50.000,0.000,50.000,goods_receipt,a89a580a-40ab-456f-8774-a463b25f0d4c,GR-002,a0000000-0000-0000-0000-000000000003,2026-06-23T21:54:29.824Z
69aee933-efe6-443d-8456-5f7282667e1c,c0000000-0000-0000-0000-000000000001,ca912336-50a2-49c4-ae84-2e2d3910e420,usage,-8.000,32.000,24.000,manual,,Pemakaian pengecoran kolom lt.3,a0000000-0000-0000-0000-000000000002,2026-06-23T21:56:03.608Z
18b4cd0a-4e20-44ac-b95e-fbe55abf0bb0,c0000000-0000-0000-0000-000000000002,dbf062e7-8758-4bbd-a590-6aa850fbb5a6,adjustment,-2.000,50.000,48.000,manual,,Opname mingguan — koreksi 2 m² pecah saat handling,a0000000-0000-0000-0000-000000000003,2026-06-23T21:56:03.608Z
d1544eb5-380f-4335-8874-061f26d31f94,c0000000-0000-0000-0000-000000000002,dbf062e7-8758-4bbd-a590-6aa850fbb5a6,usage,-20.000,48.000,28.000,manual,,Pemasangan lantai ruang tamu,a0000000-0000-0000-0000-000000000003,2026-06-23T21:56:03.608Z
b8bd27f9-18ee-4b10-86ef-91f6ebdb6633,c0000000-0000-0000-0000-000000000001,ca912336-50a2-49c4-ae84-2e2d3910e420,usage,-8.000,32.000,24.000,manual,,Pemakaian pengecoran kolom lt.3,a0000000-0000-0000-0000-000000000002,2026-06-23T21:56:30.865Z
27ed764b-6bc4-4d4f-8c59-d435a5a5534a,c0000000-0000-0000-0000-000000000002,dbf062e7-8758-4bbd-a590-6aa850fbb5a6,adjustment,-2.000,50.000,48.000,manual,,Opname mingguan — koreksi 2 m² pecah saat handling,a0000000-0000-0000-0000-000000000003,2026-06-23T21:56:30.865Z
85f4006a-9f34-49e3-ba54-b221a9d2f0d0,c0000000-0000-0000-0000-000000000002,dbf062e7-8758-4bbd-a590-6aa850fbb5a6,usage,-20.000,48.000,28.000,manual,,Pemasangan lantai ruang tamu,a0000000-0000-0000-0000-000000000003,2026-06-23T21:56:30.865Z
642f7b7d-b9c7-41cb-8d5f-c17c0ab438a9,c0000000-0000-0000-0000-000000000001,ca912336-50a2-49c4-ae84-2e2d3910e420,usage,-8.000,32.000,24.000,manual,,Pemakaian pengecoran kolom lt.3,a0000000-0000-0000-0000-000000000002,2026-06-23T21:56:46.318Z
f5e7abe1-60ad-4a64-9d8f-ae59ca599fdf,c0000000-0000-0000-0000-000000000002,dbf062e7-8758-4bbd-a590-6aa850fbb5a6,adjustment,-2.000,50.000,48.000,manual,,Opname mingguan — koreksi 2 m² pecah saat handling,a0000000-0000-0000-0000-000000000003,2026-06-23T21:56:46.318Z
a0d47cfe-cc3e-4af7-988b-e1062767ed03,c0000000-0000-0000-0000-000000000002,dbf062e7-8758-4bbd-a590-6aa850fbb5a6,usage,-20.000,48.000,28.000,manual,,Pemasangan lantai ruang tamu,a0000000-0000-0000-0000-000000000003,2026-06-23T21:56:46.318Z
