id,project_id,termin_number,label,amount,pct_of_contract,target_date,status,notes,created_at,updated_at,trigger_type,trigger_pct,due_days
d1000000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000001,1,DP - Awal pekerjaan,85500000.00,30.00,2026-01-31T17:00:00.000Z,paid,,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,on_progress,,
d1000000-0000-0000-0000-000000000002,c0000000-0000-0000-0000-000000000001,2,Termin 1 - Struktur selesai,71250000.00,25.00,2026-03-14T17:00:00.000Z,paid,,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,on_progress,,
d1000000-0000-0000-0000-000000000003,c0000000-0000-0000-0000-000000000001,3,Termin 2 - Finishing 50%,71250000.00,25.00,2026-04-30T17:00:00.000Z,billed,,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,on_progress,,
d1000000-0000-0000-0000-000000000004,c0000000-0000-0000-0000-000000000001,4,Termin 3 - Finishing 90%,42750000.00,15.00,2026-07-14T17:00:00.000Z,pending,,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,on_progress,,
d1000000-0000-0000-0000-000000000005,c0000000-0000-0000-0000-000000000001,5,Retensi 5%,14250000.00,5.00,2026-10-30T17:00:00.000Z,pending,,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,on_progress,,
d3000000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000003,1,DP - Awal pekerjaan,28500000.00,30.00,2026-03-31T17:00:00.000Z,paid,,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,on_progress,,
d3000000-0000-0000-0000-000000000002,c0000000-0000-0000-0000-000000000003,2,Termin 1 - Bongkaran & struktur,23750000.00,25.00,2026-04-30T17:00:00.000Z,paid,,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,on_progress,,
d3000000-0000-0000-0000-000000000003,c0000000-0000-0000-0000-000000000003,3,Termin 2 - Finishing & instalasi,28500000.00,30.00,2026-05-31T17:00:00.000Z,billed,,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,on_progress,,
d3000000-0000-0000-0000-000000000004,c0000000-0000-0000-0000-000000000003,4,Serah terima & retensi,14250000.00,15.00,2026-06-29T17:00:00.000Z,pending,,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,on_progress,,
d4000000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000004,1,DP,14400000.00,30.00,2026-01-09T17:00:00.000Z,paid,,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,on_progress,,
d4000000-0000-0000-0000-000000000002,c0000000-0000-0000-0000-000000000004,2,Termin 1 - Pondasi & besi,19200000.00,40.00,2026-02-09T17:00:00.000Z,paid,,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,on_progress,,
d4000000-0000-0000-0000-000000000003,c0000000-0000-0000-0000-000000000004,3,Pelunasan & retensi,14400000.00,30.00,2026-03-09T17:00:00.000Z,paid,,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,on_progress,,
d6000000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000006,1,DP - Awal pekerjaan,195000000.00,30.00,2026-01-14T17:00:00.000Z,paid,,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,on_progress,,
d6000000-0000-0000-0000-000000000002,c0000000-0000-0000-0000-000000000006,2,Termin 1 - Pondasi & struktur,162500000.00,25.00,2026-03-31T17:00:00.000Z,billed,,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,on_progress,,
d6000000-0000-0000-0000-000000000003,c0000000-0000-0000-0000-000000000006,3,Termin 2 - Struktur lt2,130000000.00,20.00,2026-06-30T17:00:00.000Z,pending,,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,on_progress,,
d6000000-0000-0000-0000-000000000004,c0000000-0000-0000-0000-000000000006,4,Termin 3 - Finishing,130000000.00,20.00,2026-09-30T17:00:00.000Z,pending,,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,on_progress,,
d6000000-0000-0000-0000-000000000005,c0000000-0000-0000-0000-000000000006,5,Retensi 5%,32500000.00,5.00,2027-01-30T17:00:00.000Z,pending,,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,on_progress,,
d8000000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000008,1,DP - Awal pekerjaan,255000000.00,30.00,2026-03-31T17:00:00.000Z,paid,,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,on_progress,,
d8000000-0000-0000-0000-000000000002,c0000000-0000-0000-0000-000000000008,2,Termin 1 - Pondasi,170000000.00,20.00,2026-06-30T17:00:00.000Z,pending,,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,on_progress,,
d8000000-0000-0000-0000-000000000003,c0000000-0000-0000-0000-000000000008,3,Termin 2 - Struktur,170000000.00,20.00,2026-09-30T17:00:00.000Z,pending,,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,on_progress,,
d8000000-0000-0000-0000-000000000004,c0000000-0000-0000-0000-000000000008,4,Termin 3 - Finishing,170000000.00,20.00,2026-12-31T17:00:00.000Z,pending,,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,on_progress,,
d8000000-0000-0000-0000-000000000005,c0000000-0000-0000-0000-000000000008,5,Retensi 5%,42500000.00,5.00,2027-06-29T17:00:00.000Z,pending,,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,on_progress,,
d9000000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000009,1,DP,126000000.00,30.00,2025-09-30T17:00:00.000Z,paid,,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,on_progress,,
d9000000-0000-0000-0000-000000000002,c0000000-0000-0000-0000-000000000009,2,Termin 1 - Pondasi & struktur,105000000.00,25.00,2025-12-14T17:00:00.000Z,paid,,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,on_progress,,
d9000000-0000-0000-0000-000000000003,c0000000-0000-0000-0000-000000000009,3,Termin 2 - Dinding & atap,105000000.00,25.00,2026-02-28T17:00:00.000Z,billed,,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,on_progress,,
d9000000-0000-0000-0000-000000000004,c0000000-0000-0000-0000-000000000009,4,Termin 3 - Finishing,63000000.00,15.00,2026-05-31T17:00:00.000Z,pending,,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,on_progress,,
d9000000-0000-0000-0000-000000000005,c0000000-0000-0000-0000-000000000009,5,Retensi,21000000.00,5.00,2026-09-29T17:00:00.000Z,pending,,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,on_progress,,
d0110000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000011,1,DP - Awal pekerjaan,114000000.00,30.00,2026-02-14T17:00:00.000Z,paid,,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,on_progress,,
d0110000-0000-0000-0000-000000000002,c0000000-0000-0000-0000-000000000011,2,Termin 1 - Pondasi & besi,95000000.00,25.00,2026-04-14T17:00:00.000Z,paid,,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,on_progress,,
d0110000-0000-0000-0000-000000000003,c0000000-0000-0000-0000-000000000011,3,Termin 2 - Rangka baja,95000000.00,25.00,2026-06-29T17:00:00.000Z,billed,,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,on_progress,,
d0110000-0000-0000-0000-000000000004,c0000000-0000-0000-0000-000000000011,4,Termin 3 - Finishing,57000000.00,15.00,2026-08-30T17:00:00.000Z,pending,,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,on_progress,,
d0110000-0000-0000-0000-000000000005,c0000000-0000-0000-0000-000000000011,5,Retensi,19000000.00,5.00,2026-12-30T17:00:00.000Z,pending,,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,on_progress,,
d0130000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000013,1,DP - Awal pekerjaan,18000000.00,30.00,2026-02-28T17:00:00.000Z,paid,,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,on_progress,,
d0130000-0000-0000-0000-000000000002,c0000000-0000-0000-0000-000000000013,2,Termin 1 - Struktur,24000000.00,40.00,2026-04-14T17:00:00.000Z,paid,,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,on_progress,,
d0130000-0000-0000-0000-000000000003,c0000000-0000-0000-0000-000000000013,3,Pelunasan & retensi,15000000.00,25.00,2026-06-14T17:00:00.000Z,billed,,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,on_progress,,
d0130000-0000-0000-0000-000000000004,c0000000-0000-0000-0000-000000000013,4,Retensi 5%,3000000.00,5.00,2026-09-29T17:00:00.000Z,pending,,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,on_progress,,
d0140000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000014,1,DP,43500000.00,30.00,2025-11-30T17:00:00.000Z,paid,,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,on_progress,,
d0140000-0000-0000-0000-000000000002,c0000000-0000-0000-0000-000000000014,2,Termin 1 - Bongkaran & partisi,43500000.00,30.00,2026-01-31T17:00:00.000Z,paid,,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,on_progress,,
d0140000-0000-0000-0000-000000000003,c0000000-0000-0000-0000-000000000014,3,Termin 2 - Finishing,43500000.00,30.00,2026-03-31T17:00:00.000Z,paid,,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,on_progress,,
d0140000-0000-0000-0000-000000000004,c0000000-0000-0000-0000-000000000014,4,Retensi 5%,7250000.00,5.00,2026-07-30T17:00:00.000Z,billed,,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,on_progress,,
