id,work_scope_id,item_name,category,description,unit,volume,unit_price,subtotal,volume_done,pct_done,sort_order,notes,created_by,created_at,updated_at
ac010001-0000-0000-0000-000000000001,ab010000-0000-0000-0000-000000000001,Galian tanah pondasi,lain_lain,,m3,45.000,150000.00,6750000.00,45.000,100.00,1,,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
ac010001-0000-0000-0000-000000000002,ab010000-0000-0000-0000-000000000001,Cor beton pondasi,struktur,,m3,18.000,950000.00,17100000.00,18.000,100.00,2,K-225,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
ac010001-0000-0000-0000-000000000003,ab010000-0000-0000-0000-000000000001,Pasang bata dinding,dinding,,m2,180.000,125000.00,22500000.00,180.000,100.00,3,Bata merah tebal 1/2 bata,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
ac010001-0000-0000-0000-000000000004,ab010000-0000-0000-0000-000000000001,Kolom beton praktis,struktur,,buah,24.000,450000.00,10800000.00,24.000,100.00,4,Uk 15x15,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
ac010001-0000-0000-0000-000000000005,ab010000-0000-0000-0000-000000000001,Ring balok,struktur,,m,85.000,185000.00,15725000.00,85.000,100.00,5,,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
ac010002-0000-0000-0000-000000000001,ab010000-0000-0000-0000-000000000002,Plesteran dinding,dinding,,m2,320.000,45000.00,14400000.00,192.000,60.00,1,Tebal 15mm,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
ac010002-0000-0000-0000-000000000002,ab010000-0000-0000-0000-000000000002,Acian dinding,dinding,,m2,320.000,35000.00,11200000.00,192.000,60.00,2,,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
ac010002-0000-0000-0000-000000000003,ab010000-0000-0000-0000-000000000002,Pasang keramik lantai 60x60,finishing,,m2,120.000,120000.00,14400000.00,72.000,60.00,3,Roman Granit,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
ac010002-0000-0000-0000-000000000004,ab010000-0000-0000-0000-000000000002,Cat tembok eksterior,finishing,,m2,210.000,55000.00,11550000.00,0.000,0.00,4,Dulux WeatherShield,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
ac010002-0000-0000-0000-000000000005,ab010000-0000-0000-0000-000000000002,Cat tembok interior,finishing,,m2,380.000,42000.00,15960000.00,228.000,60.00,5,Dulux Catylac,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
